rank,journal_title,total_cites,impact_factor,eigen_factor
102,JAMA Internal Medicine,"5,590",14,0.04009
103,NEURON,"78,507",13.974,0.223
104,MOLECULAR CELL,"53,714",13.958,0.19327
105,STUDIES IN MYCOLOGY,"1,932",13.889,0.00357
106,NANO LETTERS,"129,399",13.779,0.36775
107,FEMS MICROBIOLOGY REVIEWS,"9,277",13.687,0.01839
108,MOLECULAR BIOLOGY AND EVOLUTION,"38,486",13.649,0.10367
109,Light-Science & Applications,"1,724",13.6,0.00767
110,PLOS MEDICINE,"20,499",13.585,0.06207
111,Annual Review of Entomology,"10,622",13.534,0.01075
112,Annual Review of Physical Chemistry,"8,077",13.527,0.01408
113,AMERICAN JOURNAL OF PSYCHIATRY,"41,752",13.505,0.04657
113,AMERICAN JOURNAL OF PSYCHIATRY,"41,752",13.505,0.04657
115,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,671",13.338,0.10434
116,ACS Nano,"97,676",13.334,0.35746
117,MOLECULAR PSYCHIATRY,"15,797",13.314,0.04455
118,Annual Review of Marine Science,"2,559",13.214,0.01392
119,PROGRESS IN NEUROBIOLOGY,"11,877",13.177,0.02039
120,Nano Today,"5,428",13.157,0.01508
121,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"53,045",13.118,0.09192
122,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"504,778",13.038,0.79612
123,COORDINATION CHEMISTRY REVIEWS,"29,743",12.994,0.03644
124,REPORTS ON PROGRESS IN PHYSICS,"12,755",12.933,0.0335
125,TRENDS IN BIOCHEMICAL SCIENCES,"15,491",12.81,0.03199
126,Annual Review of Cell and Developmental Biology,"8,992",12.755,0.02064
127,Nature Chemical Biology,"15,361",12.709,0.06103
128,Advances in Organometallic Chemistry,829,12.625,0.00058
129,JOURNAL OF CLINICAL INVESTIGATION,"101,063",12.575,0.18555
130,Cell Host & Microbe,"10,638",12.552,0.05237
131,Nature Geoscience,"14,574",12.508,0.08468
132,TRENDS IN NEUROSCIENCES,"18,656",12.504,0.03023
133,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"41,392",12.485,0.08508
134,ANNALS OF THE RHEUMATIC DISEASES,"35,393",12.384,0.07538
135,Advances in Optics and Photonics,"1,072",12.368,0.00366
136,Annual Review of Fluid Mechanics,"8,878",12.333,0.01518
137,Annual Review of Genetics,"7,166",12.235,0.01714
138,Annual Review of Clinical Psychology,"3,653",12.214,0.01097
138,Annual Review of Clinical Psychology,"3,653",12.214,0.01097
140,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"2,927",12.162,0.00442
141,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,315",12.136,0.00578
142,LEUKEMIA,"22,423",12.104,0.06324
143,TRENDS IN BIOTECHNOLOGY,"11,974",12.065,0.01926
144,BLOOD,"158,083",11.841,0.35128
145,TRENDS IN PHARMACOLOGICAL SCIENCES,"10,682",11.84,0.01885
146,HEPATOLOGY,"60,117",11.711,0.11743
147,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"263,526",11.709,0.55213
148,Annual Review of Biophysics,"2,310",11.625,0.01232
149,Alzheimers & Dementia,"7,019",11.619,0.02753
150,Nano Energy,"6,968",11.553,0.01796
151,CIRCULATION RESEARCH,"47,491",11.551,0.08543
152,TRENDS IN CELL BIOLOGY,"11,479",11.532,0.03256
153,REVIEWS OF GEOPHYSICS,"8,280",11.444,0.01157
154,TRENDS IN IMMUNOLOGY,"9,274",11.433,0.0246
155,ADVANCED FUNCTIONAL MATERIALS,"58,245",11.382,0.14187
156,JNCI-Journal of the National Cancer Institute,"37,074",11.37,0.06363
157,ACTA NEUROPATHOLOGICA,"14,701",11.36,0.03705
158,GENOME RESEARCH,"34,396",11.351,0.12414
159,Nature Communications,"75,139",11.329,0.47809
160,GENOME BIOLOGY,"25,081",11.313,0.087
161,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"24,953",11.257,0.07151
162,JOURNAL OF EXPERIMENTAL MEDICINE,"62,854",11.24,0.10565
163,PROGRESS IN LIPID RESEARCH,"4,814",11.238,0.0085
164,BIOLOGICAL PSYCHIATRY,"42,289",11.212,0.07406
165,HUMAN REPRODUCTION UPDATE,"7,239",11.194,0.01627
166,PHARMACOLOGY & THERAPEUTICS,"12,238",11,0.02068
167,NATURAL PRODUCT REPORTS,"8,755",10.986,0.0183
168,Annual Review of Medicine,"5,666",10.954,0.01234
169,TRENDS IN PLANT SCIENCE,"17,092",10.899,0.02983
170,MOLECULAR ASPECTS OF MEDICINE,"4,178",10.86,0.01075
171,AMERICAN JOURNAL OF HUMAN GENETICS,"34,628",10.794,0.08038
172,ECOLOGY LETTERS,"25,887",10.772,0.06597
173,BIOLOGICAL REVIEWS,"8,895",10.725,0.01858
174,JOURNAL OF HEPATOLOGY,"30,983",10.59,0.07599
175,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"20,918",10.588,0.08229
176,Molecular Systems Biology,"7,682",10.581,0.03634
177,Annual Review of Microbiology,"9,267",10.536,0.01427
178,Nature Reviews Cardiology,"3,360",10.533,0.01769
179,Nature Reviews Rheumatology,"4,314",10.531,0.02001
180,Annual Review of Materials Research,"6,356",10.39,0.0111
181,AMERICAN JOURNAL OF GASTROENTEROLOGY,"31,432",10.383,0.05567
182,Annual Review of Biomedical Engineering,"3,823",10.256,0.00647
183,Annual Review of Public Health,"4,631",10.24,0.00728
183,Annual Review of Public Health,"4,631",10.24,0.00728
185,Wiley Interdisciplinary Reviews-Computational Molecular Science,"2,560",10.234,0.01174
186,INTENSIVE CARE MEDICINE,"18,130",10.125,0.03362
187,BRAIN,"46,207",10.103,0.08391
188,GENES & DEVELOPMENT,"57,109",10.042,0.11756
189,SEMINARS IN CANCER BIOLOGY,"5,600",9.955,0.01293
190,TRENDS IN GENETICS,"10,789",9.858,0.0241
191,BIOTECHNOLOGY ADVANCES,"12,195",9.848,0.02463
192,Academy of Management Annals,"1,530",9.741,0.00836
193,Nature Protocols,"28,066",9.646,0.06879
194,EMBO JOURNAL,"68,016",9.643,0.10734
195,ANNALS OF NEUROLOGY,"32,995",9.638,0.05956
196,2D Materials,514,9.611,0.00281
197,EMBO Molecular Medicine,"4,471",9.547,0.02328
198,IMMUNOLOGICAL REVIEWS,"13,384",9.542,0.03702
199,JAMA Pediatrics,"2,548",9.528,0.01569
200,TRENDS IN MICROBIOLOGY,"9,700",9.5,0.02032
201,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"2,608",9.472,0.00633
202,Nature Reviews Nephrology,"2,897",9.463,0.01493
203,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"593,284",9.423,1.3265
204,CHEMISTRY OF MATERIALS,"88,075",9.407,0.12692
205,PROGRESS IN RETINAL AND EYE RESEARCH,"4,591",9.394,0.00987
206,Annual Review of Ecology Evolution and Systematics,"17,547",9.352,0.01262
207,MASS SPECTROMETRY REVIEWS,"3,994",9.346,0.00552
208,DEVELOPMENTAL CELL,"24,023",9.338,0.08365
209,EPIDEMIOLOGIC REVIEWS,"3,157",9.333,0.00395
210,ISME Journal,"13,569",9.328,0.056
211,JOURNAL OF PINEAL RESEARCH,"6,914",9.314,0.0078
212,Annual Review of Phytopathology,"6,396",9.308,0.00703
213,ACS Catalysis,"15,646",9.307,0.05196
214,TRENDS IN MOLECULAR MEDICINE,"7,703",9.292,0.02056
215,ANNALS OF ONCOLOGY,"30,516",9.269,0.09448
216,IEEE Communications Surveys and Tutorials,"4,172",9.22,0.02037
217,NUCLEIC ACIDS RESEARCH,"143,465",9.202,0.36513
218,Cold Spring Harbor Perspectives in Biology,"9,184",9.173,0.05876
219,Chemical Science,"20,983",9.144,0.0891
220,MEDICINAL RESEARCH REVIEWS,"3,710",9.135,0.00537
221,Autophagy,"10,957",9.108,0.0361
222,Materials Horizons,917,9.095,0.00306
223,ACTA NUMERICA,"1,498",9,0.00414
223,Microbiome,698,9,0.00414
225,CURRENT BIOLOGY,"49,471",8.983,0.14227
226,Health Psychology Review,841,8.976,0.00305
227,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"6,826",8.964,0.0194
228,ARTHRITIS AND RHEUMATISM,"45,624",8.955,0.0674
229,DIABETES CARE,"60,339",8.934,0.11723
230,Nano Research,"7,188",8.893,0.0199
231,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"3,222",8.867,0.00787
232,Theranostics,"2,813",8.854,0.00961
233,FRONTIERS IN NEUROENDOCRINOLOGY,"3,407",8.852,0.00728
234,CURRENT OPINION IN CELL BIOLOGY,"13,034",8.851,0.03195
235,Geochemical Perspectives,115,8.8,0.0008
236,DIABETES,"51,024",8.784,0.08696
237,NPG Asia Materials,"1,806",8.772,0.00766
238,GONDWANA RESEARCH,"8,546",8.743,0.02397
239,CLINICAL CANCER RESEARCH,"74,312",8.738,0.15361
